Model,TP,FP,FN,TN,Valid_Count,Accuracy,Precision,Recall
doubao-1-5-pro-32k-250115,129,5,128,208,470,0.72,0.96,0.50
claude-3-7-sonnet-20250219,175,74,75,147,471,0.68,0.70,0.70
gemini-2.5-pro,213,114,44,100,471,0.66,0.65,0.83
grok-4,243,210,0,18,471,0.55,0.54,1.00
gpt-4o,107,10,147,202,466,0.66,0.91,0.42
gpt-5-2025-08-07,186,50,67,165,468,0.75,0.79,0.74
deepseek-r1,144,74,99,154,471,0.63,0.66,0.59
kimi-k2-0711-preview,123,38,112,197,470,0.68,0.76,0.52
o3-2025-04-16,209,91,51,117,468,0.70,0.70,0.80
glm-4.5v,84,6,143,234,467,0.68,0.93,0.37
