Model,TP,FP,FN,TN,Valid_Count,Accuracy,Precision,Recall
claude-3-7-sonnet-20250219,186,94,63,128,471,0.67,0.66,0.75
deepseek-r1,125,63,137,146,471,0.58,0.66,0.48
doubao-1-5-pro-32k-250115,134,4,105,226,469,0.77,0.97,0.56
gemini-2.5-pro,206,94,39,132,471,0.72,0.69,0.84
glm-4.5v,84,4,168,213,469,0.63,0.95,0.33
gpt-4o,91,14,175,185,465,0.59,0.87,0.34
gpt-5-2025-08-07,188,77,71,132,468,0.68,0.71,0.73
grok-4,263,198,1,9,471,0.58,0.57,1.00
kimi-k2-0711-preview,124,37,91,218,470,0.73,0.77,0.58
o3-2025-04-16,194,96,58,120,468,0.67,0.67,0.77
